Lap,Sim_TyreAge_StartOfLap,Sim_Compound,AI_Pace_Delta,AI_Pit_Prob,Action,Time_If_Stay_Out,Time_If_Box_Soft,Time_If_Box_Medium,Time_If_Box_Hard,SC_Risk_Prob,Color
62,16,SOFT,-0.7192491888999939,0.035576172,STAY OUT,3.1648640632629395,,34.5157043445552,34.5157043445552,0.06451006206507429,#FF3333
63,17,SOFT,-0.6315910816192627,0.03795889,STAY OUT,1.6262611150741577,,29.2578521722776,29.2578521722776,0.06451006206507429,#FF3333
1,1,MEDIUM,3.0,0.009688934,STAY OUT,280.2112121582031,,,,0.15185429010313803,#EBEB00
2,2,MEDIUM,3.0,0.009517957,STAY OUT,271.89630126953125,,,,0.15185429010313803,#EBEB00
3,3,MEDIUM,2.896693229675293,0.0093354145,STAY OUT,263.5813903808594,,,,0.15185429010313803,#EBEB00
4,4,MEDIUM,2.7468910217285156,0.01241541,STAY OUT,255.3698272705078,,,,0.05850451930977814,#EBEB00
5,5,MEDIUM,2.719306468963623,0.016472021,STAY OUT,250.57530212402344,,,,0.05850451930977814,#EBEB00
6,6,MEDIUM,2.689081907272339,0.02179823,STAY OUT,245.80833435058594,,,,0.05850451930977814,#EBEB00
7,7,MEDIUM,2.6923134326934814,0.028796239,STAY OUT,241.0715789794922,,,,0.05850451930977814,#EBEB00
8,8,MEDIUM,2.6808183193206787,0.03781089,STAY OUT,236.3316192626953,241.4484100341797,,265.7062072753906,0.0442093330814283,#EBEB00
9,9,MEDIUM,2.6706485748291016,0.048753746,STAY OUT,232.1034698486328,236.04185485839844,,260.9278564453125,0.0442093330814283,#EBEB00
10,10,MEDIUM,2.6706485748291016,0.06576055,STAY OUT,227.88551330566406,231.2298583984375,,256.42626953125,0.0442093330814283,#EBEB00
11,11,MEDIUM,2.6460142135620117,0.08920801,STAY OUT,223.6675262451172,226.3956756591797,,228.28451538085938,0.037152669372463316,#EBEB00
12,12,MEDIUM,2.611224889755249,0.12137627,STAY OUT,219.72117614746094,221.47666931152344,,223.68988037109375,0.037152669372463316,#EBEB00
13,13,MEDIUM,2.56156587600708,0.17108022,STAY OUT,215.8096160888672,216.7917938232422,,218.76718139648438,0.037152669372463316,#EBEB00
14,14,MEDIUM,2.5382540225982666,0.22720133,STAY OUT,211.9477081298828,212.4108428955078,,214.04833984375,0.037152669372463316,#EBEB00
15,15,MEDIUM,2.5360312461853027,0.28993756,STAY OUT,208.1090850830078,208.1542510986328,,209.52157592773438,0.025600282485875706,#EBEB00
16,0,SOFT,2.5115838050842285,0.34131038,BOX (STRATEGY),204.6770477294922,204.07675170898438,,205.41241455078125,0.025600282485875706,#FF3333
17,1,SOFT,3.0,0.0027422467,STAY OUT,176.38243103027344,,,,0.025600282485875706,#FF3333
18,2,SOFT,3.0,0.09170142,STAY OUT,172.4864044189453,,,,0.016358839050131926,#FF3333
19,3,SOFT,2.1180732250213623,0.025974136,STAY OUT,168.91383361816406,,,,0.016358839050131926,#FF3333
20,4,SOFT,2.0995874404907227,0.024544656,STAY OUT,166.2232208251953,,,,0.016358839050131926,#FF3333
21,5,SOFT,2.10370135307312,0.029777914,STAY OUT,163.5510711669922,,,,0.016358839050131926,#FF3333
22,6,SOFT,2.0591931343078613,0.026648924,STAY OUT,160.8748016357422,,,,0.04234997296810236,#FF3333
23,7,SOFT,2.0611462593078613,0.031834148,STAY OUT,157.33335876464844,,,,0.04234997296810236,#FF3333
24,8,SOFT,2.0288398265838623,0.033846326,STAY OUT,153.7899627685547,,185.7669219970703,191.14950561523438,0.04234997296810236,#FF3333
25,9,SOFT,2.0006673336029053,0.040373914,STAY OUT,150.2788543701172,,183.82643127441406,187.1567840576172,0.04727030625832224,#FF3333
26,10,SOFT,2.0066745281219482,0.04804423,STAY OUT,146.6237030029297,,179.8416748046875,180.67958068847656,0.04727030625832224,#FF3333
27,11,SOFT,2.0283570289611816,0.056822963,STAY OUT,142.9625701904297,,176.0751953125,152.55059814453125,0.04727030625832224,#FF3333
28,12,SOFT,2.021986484527588,0.065832146,STAY OUT,139.27975463867188,,172.36122131347656,147.80735778808594,0.04727030625832224,#FF3333
29,13,SOFT,2.028597116470337,0.06775702,STAY OUT,135.60330200195312,,169.16798400878906,143.18283081054688,0.04057641259006446,#FF3333
30,14,SOFT,1.8007807731628418,0.0625919,STAY OUT,132.15452575683594,,165.95278930664062,138.9768829345703,0.04057641259006446,#FF3333
31,15,SOFT,1.48931884765625,0.1322602,STAY OUT,128.93357849121094,,159.9637908935547,134.74929809570312,0.04057641259006446,#FF3333
32,16,SOFT,1.5152560472488403,0.14693154,STAY OUT,126.02409362792969,,154.20761108398438,130.81417846679688,0.026024622097553372,#FF3333
33,17,SOFT,1.5524238348007202,0.16703413,STAY OUT,123.59796142578125,,127.62635803222656,127.6268310546875,0.026024622097553372,#FF3333
34,18,SOFT,1.566393256187439,0.18927684,STAY OUT,121.13468933105469,,124.48760986328125,124.51690673828125,0.026024622097553372,#FF3333
35,19,SOFT,1.5360571146011353,0.21346733,STAY OUT,118.65742492675781,,121.01692199707031,121.07359313964844,0.026024622097553372,#FF3333
36,20,SOFT,1.786561131477356,0.12711538,STAY OUT,116.21051025390625,,117.79649353027344,117.88070678710938,0.012218045112781954,#FF3333
37,21,SOFT,1.4081289768218994,0.22753969,STAY OUT,113.99632263183594,,115.05743408203125,115.15653991699219,0.012218045112781954,#FF3333
38,22,SOFT,1.4827840328216553,0.24668808,STAY OUT,112.16055297851562,,112.8512954711914,112.97660064697266,0.012218045112781954,#FF3333
39,23,SOFT,1.4192456007003784,0.26403496,STAY OUT,110.25013732910156,,110.45755767822266,110.60674285888672,0.024420901418567065,#FF3333
40,0,MEDIUM,1.4394700527191162,0.1734458,BOX (STRATEGY),110.54578399658203,,108.04917907714844,108.22036743164062,0.024420901418567065,#EBEB00
41,1,MEDIUM,1.8470081090927124,0.05003916,STAY OUT,81.81398010253906,,,,0.024420901418567065,#EBEB00
42,2,MEDIUM,1.827765941619873,0.060017247,STAY OUT,79.11224365234375,,,,0.024420901418567065,#EBEB00
43,3,MEDIUM,0.1273142248392105,0.02382045,STAY OUT,76.42974853515625,,,,0.03466955579631636,#EBEB00
44,4,MEDIUM,0.163429856300354,0.028112626,STAY OUT,75.08899688720703,,,,0.03466955579631636,#EBEB00
45,5,MEDIUM,0.11318277567625046,0.031105507,STAY OUT,73.7121353149414,,,,0.03466955579631636,#EBEB00
46,6,MEDIUM,0.1552879363298416,0.034399632,STAY OUT,72.38551330566406,,,,0.04032821229050279,#EBEB00
47,7,MEDIUM,0.1539134830236435,0.038028907,STAY OUT,70.81874084472656,,,,0.04032821229050279,#EBEB00
48,8,MEDIUM,0.12705785036087036,0.042024422,STAY OUT,69.25334167480469,113.09864044189453,,91.96240234375,0.04032821229050279,#EBEB00
49,9,MEDIUM,0.43475306034088135,0.06326568,STAY OUT,67.71479797363281,88.00526428222656,,90.11869812011719,0.04032821229050279,#EBEB00
50,10,MEDIUM,0.3948380947113037,0.06816278,STAY OUT,65.8685531616211,85.87478637695312,,87.82054901123047,0.0775473399458972,#EBEB00
51,11,MEDIUM,0.681498110294342,0.042469356,STAY OUT,62.75955581665039,82.51835632324219,,84.28968048095703,0.0775473399458972,#EBEB00
52,12,MEDIUM,0.661303699016571,0.04576122,STAY OUT,59.36389923095703,78.96847534179688,,80.56998443603516,0.0775473399458972,#EBEB00
53,13,MEDIUM,0.6713508367538452,0.049288638,STAY OUT,55.98843765258789,75.5356216430664,,76.96832275390625,0.09001118151323145,#EBEB00
54,14,MEDIUM,0.736991286277771,0.05439832,STAY OUT,52.16669464111328,71.63616943359375,,72.96058654785156,0.09001118151323145,#EBEB00
55,15,MEDIUM,0.7756832242012024,0.061245788,STAY OUT,48.27931213378906,67.77783966064453,,68.99398803710938,0.09001118151323145,#EBEB00
56,16,MEDIUM,0.783313512802124,0.06889235,STAY OUT,44.35323715209961,64.097412109375,,65.16524505615234,0.09001118151323145,#EBEB00
57,17,MEDIUM,0.8028535842895508,0.07741492,STAY OUT,40.419532775878906,60.73955154418945,,61.63014221191406,0.0673447913012978,#EBEB00
58,18,MEDIUM,0.7779961824417114,0.08689336,STAY OUT,37.259613037109375,58.19478988647461,,58.89090347290039,0.0673447913012978,#EBEB00
59,19,MEDIUM,0.8240383267402649,0.09729993,STAY OUT,34.12454605102539,55.74151611328125,,56.253013610839844,0.0673447913012978,#EBEB00
60,20,MEDIUM,0.8606357574462891,0.108045794,STAY OUT,30.94344139099121,53.56867980957031,,54.24031066894531,0.03816214163660528,#EBEB00
61,21,MEDIUM,0.8361642956733704,0.12009658,STAY OUT,28.74713134765625,51.92721176147461,,52.76109313964844,0.03816214163660528,#EBEB00
62,22,MEDIUM,0.8205962777137756,0.13455822,STAY OUT,26.57529067993164,50.30234909057617,,51.007408142089844,0.03816214163660528,#EBEB00
63,23,MEDIUM,0.8249673843383789,0.1519219,STAY OUT,24.41901969909668,48.618621826171875,,49.19691467285156,0.03816214163660528,#EBEB00
64,24,MEDIUM,0.8449736833572388,0.17015155,STAY OUT,22.258377075195312,46.9004020690918,,47.36178970336914,0.06660633484162895,#EBEB00
65,25,MEDIUM,0.8526427745819092,0.18279482,STAY OUT,19.082181930541992,44.32712936401367,,44.673500061035156,0.06660633484162895,#EBEB00
66,26,MEDIUM,0.8959914445877075,0.18349509,STAY OUT,15.898316383361816,41.777374267578125,,42.01641082763672,0.06660633484162895,#EBEB00
67,27,MEDIUM,0.9211575984954834,0.18419388,STAY OUT,12.671103477478027,39.25031661987305,,39.37770462036133,0.06451006206507429,#EBEB00
68,28,MEDIUM,0.9320611357688904,0.18771672,STAY OUT,9.492094039916992,37.16921615600586,,37.17634963989258,0.06451006206507429,#EBEB00
69,29,MEDIUM,0.8812969923019409,0.21084027,STAY OUT,6.302181243896484,34.5157043445552,,34.5157043445552,0.06451006206507429,#EBEB00
70,30,MEDIUM,0.9051797389984131,0.20826899,STAY OUT,3.163031816482544,29.2578521722776,,29.2578521722776,0.06451006206507429,#EBEB00
1,1,MEDIUM,2.9569380283355713,5.9185735e-05,STAY OUT,171.4248809814453,,,,0.15185429010313803,#EBEB00
2,2,MEDIUM,2.7249510288238525,0.00015828674,STAY OUT,163.1530303955078,,,,0.15185429010313803,#EBEB00
3,3,MEDIUM,1.9874359369277954,0.00023526567,STAY OUT,155.11318969726562,,,,0.05850451930977814,#EBEB00
4,4,MEDIUM,1.8339636325836182,0.0002284041,STAY OUT,151.0780792236328,,,,0.05850451930977814,#EBEB00
5,5,MEDIUM,1.8203092813491821,0.00034388123,STAY OUT,147.1964569091797,,,,0.05850451930977814,#EBEB00
6,6,MEDIUM,1.7972689867019653,0.0005109076,STAY OUT,143.32847595214844,,,,0.0442093330814283,#EBEB00
7,7,MEDIUM,1.4967832565307617,0.0026552964,STAY OUT,139.98387145996094,,,,0.0442093330814283,#EBEB00
8,8,MEDIUM,1.4967372417449951,0.0039639925,STAY OUT,136.9397735595703,152.65802001953125,,144.93896484375,0.037152669372463316,#EBEB00
9,9,MEDIUM,1.4894260168075562,0.005913875,STAY OUT,134.14268493652344,149.57957458496094,,141.1939239501953,0.037152669372463316,#EBEB00
10,10,MEDIUM,1.5022987127304077,0.008814411,STAY OUT,131.35292053222656,146.46588134765625,,137.42788696289062,0.037152669372463316,#EBEB00
11,11,MEDIUM,1.5034259557724,0.013118782,STAY OUT,128.55029296875,143.2207794189453,,133.462646484375,0.025600282485875706,#EBEB00
12,12,MEDIUM,1.5114394426345825,0.019430596,STAY OUT,126.15084075927734,140.91293334960938,,130.43299865722656,0.025600282485875706,#EBEB00
13,13,MEDIUM,1.5031254291534424,0.027712436,STAY OUT,123.74340057373047,138.3431854248047,,127.46073150634766,0.025600282485875706,#EBEB00
14,14,MEDIUM,1.5506192445755005,0.037782438,STAY OUT,121.3442611694336,135.75328063964844,,124.46632385253906,0.016358839050131926,#EBEB00
15,15,MEDIUM,1.5477139949798584,0.051792797,STAY OUT,119.22107696533203,133.96481323242188,,121.85584259033203,0.016358839050131926,#EBEB00
16,16,MEDIUM,1.5867154598236084,0.071881145,STAY OUT,117.10082244873047,132.26693725585938,,119.3141860961914,0.04234997296810236,#EBEB00
17,17,MEDIUM,1.5979441404342651,0.10526197,STAY OUT,114.03185272216797,129.6742401123047,,115.87081909179688,0.04234997296810236,#EBEB00
18,18,MEDIUM,1.604504108428955,0.16023448,STAY OUT,110.95166778564453,127.02759552001953,,112.48971557617188,0.04234997296810236,#EBEB00
19,19,MEDIUM,1.594295859336853,0.23067617,STAY OUT,107.86490631103516,124.58114624023438,,109.06422424316406,0.04727030625832224,#EBEB00
20,20,MEDIUM,1.601792812347412,0.29765442,STAY OUT,104.61615753173828,122.18036651611328,,105.45333862304688,0.04727030625832224,#EBEB00
21,21,MEDIUM,1.6378430128097534,0.3694005,STAY OUT,101.35990142822266,119.94403076171875,,101.9671859741211,0.04727030625832224,#EBEB00
22,22,MEDIUM,1.6635905504226685,0.461795,STAY OUT,98.06758880615234,118.26788330078125,,98.5111312866211,0.04057641259006446,#EBEB00
23,23,MEDIUM,1.6881742477416992,0.5369774,STAY OUT,94.99803161621094,116.88732147216797,,95.38957977294922,0.04057641259006446,#EBEB00
24,24,MEDIUM,1.6817126274108887,0.5645127,STAY OUT,92.16210174560547,115.00498962402344,,92.29544067382812,0.026024622097553372,#EBEB00
25,25,MEDIUM,1.6753658056259155,0.58110744,STAY OUT,89.80641174316406,113.04600524902344,,89.82977294921875,0.026024622097553372,#EBEB00
26,26,MEDIUM,1.7031657695770264,0.59751546,STAY OUT,87.44389343261719,111.01628875732422,,87.48042297363281,0.026024622097553372,#EBEB00
27,0,HARD,1.6467313766479492,0.61067903,BOX (STRATEGY),85.17041778564453,109.2423324584961,,85.09011840820312,0.012218045112781954,#A6A6A6
28,1,HARD,2.320565700531006,0.00089757884,STAY OUT,59.218238830566406,,,,0.012218045112781954,#A6A6A6
29,2,HARD,2.2461910247802734,0.0012331089,STAY OUT,56.47003936767578,,,,0.012218045112781954,#A6A6A6
30,3,HARD,0.4721825420856476,0.0016905544,STAY OUT,53.79621887207031,,,,0.024420901418567065,#A6A6A6
31,4,HARD,0.5279904007911682,0.0022870556,STAY OUT,52.46930694580078,,,,0.024420901418567065,#A6A6A6
32,5,HARD,0.3617989420890808,0.0030933775,STAY OUT,51.086585998535156,,,,0.03466955579631636,#A6A6A6
33,6,HARD,0.35028210282325745,0.0041827844,STAY OUT,49.511348724365234,,,,0.03466955579631636,#A6A6A6
34,7,HARD,0.30647507309913635,0.0056536812,STAY OUT,47.9476318359375,,,,0.03466955579631636,#A6A6A6
35,8,HARD,0.2724057137966156,0.0076378467,STAY OUT,46.42772674560547,66.6316909790039,69.02156066894531,,0.04032821229050279,#A6A6A6
36,9,HARD,0.20497384667396545,0.010311148,STAY OUT,44.74383544921875,64.51494598388672,66.76614379882812,,0.04032821229050279,#A6A6A6
37,10,HARD,0.31830915808677673,0.0040883454,STAY OUT,43.12737274169922,62.28639602661133,64.33513641357422,,0.04032821229050279,#A6A6A6
38,11,HARD,0.22281067073345184,0.022813857,STAY OUT,41.397579193115234,60.543304443359375,62.389034271240234,,0.0775473399458972,#A6A6A6
39,12,HARD,0.16515018045902252,0.028228253,STAY OUT,38.460609436035156,58.11161422729492,59.80588912963867,,0.0775473399458972,#A6A6A6
